"aktuelle Probe"	"17"
"Einspannlänge"	832.756	"mm"
"Messlänge"	"nicht bekannt"
"Probenbreite b0"	11.4	"mm"
"Probendicke a0"	0.2	"mm"
"Prüfgeschwindigkeit"	150	"mm/min"
"Vorkraft"	0.2	"N"
"Weg nach Bruch"	5	"mm"
"E-Modul"	1127.12	"N/mm²"
"Dehnung bei Fmax"	306.402	"%"
"Dehnung bei Bruch"	309.236	"%"
"obere Streckgrenze"	"nicht bekannt"
"Kraftmaximum"	37.9483	"N/mm²"
"Bruchkraft"	"nicht bekannt"
"Geschwindigkeit E-Modul"	1	"%L0/min"
"Datum"	"20.02.2008"
"Prüfzeit"	"Standardweg"	"Standardkraft"	"Dehnung"	"Traverse abs."
"s"	"mm"	"N"	"%"	"mm"
9.49	0.122872	4.20693	0.15359	785.298
9.57	0.12393	4.24219	0.154912	785.299
9.65	0.12502	4.2715	0.156275	785.3
9.73	0.126094	4.31052	0.157618	785.301
9.81	0.127168	4.3417	0.158961	785.302
9.89	0.128275	4.37555	0.160344	785.303
9.97	0.129382	4.41034	0.161728	785.304
10.05	0.130424	4.4492	0.16303	785.305
10.13	0.131498	4.48242	0.164372	785.306
10.21	0.13254	4.51612	0.165674	785.308
10.29	0.133598	4.54981	0.166997	785.309
10.37	0.134672	4.58381	0.16834	785.31
10.45	0.135762	4.61672	0.169703	785.311
10.53	0.13682	4.65135	0.171025	785.312
10.61	0.137878	4.68473	0.172348	785.313
10.69	0.138985	4.71827	0.173731	785.314
10.77	0.140027	4.75258	0.175033	785.315
10.85	0.141052	4.78283	0.176315	785.316
10.93	0.142094	4.8195	0.177617	785.317
11.01	0.143168	4.8488	0.17896	785.318
11.09	0.144242	4.88531	0.180303	785.319
11.17	0.145316	4.91791	0.181645	785.32
11.25	0.14639	4.95113	0.182988	785.321
11.33	0.147465	4.9867	0.184331	785.322
11.41	0.148539	5.02494	0.185674	785.324
11.49	0.149613	5.05722	0.187016	785.325
11.57	0.150687	5.09029	0.188359	785.326
11.65	0.151778	5.1257	0.189722	785.327
11.73	0.152868	5.15751	0.191085	785.328
11.81	0.15391	5.19168	0.192388	785.329
11.89	0.154952	5.22521	0.19369	785.33
11.97	0.15601	5.25843	0.195012	785.331
12.05	0.157068	5.29416	0.196334	785.332
12.13	0.158126	5.33067	0.197657	785.333
12.21	0.159232	5.36468	0.19904	785.334
12.29	0.160355	5.4001	0.200444	785.335
12.37	0.161364	5.43222	0.201706	785.336
12.45	0.162439	5.46513	0.203048	785.337
12.53	0.163448	5.49522	0.20431	785.338
12.61	0.164457	5.5253	0.205571	785.339
12.69	0.165547	5.55617	0.206934	785.341
12.77	0.166589	5.5966	0.208236	785.342
12.85	0.167663	5.63124	0.209579	785.343
12.93	0.168738	5.66963	0.210922	785.344
13.01	0.169795	5.70552	0.212244	785.345
13.09	0.170886	5.73936	0.213607	785.346
13.17	0.171944	5.77854	0.21493	785.347
13.25	0.173002	5.81317	0.216252	785.348
13.33	0.174125	5.85016	0.217656	785.349
13.41	0.175183	5.87852	0.218979	785.35
13.49	0.176273	5.9119	0.220342	785.351
13.58	0.177413	5.95092	0.221766	785.352
13.66	0.178487	5.9868	0.223109	785.353
13.74	0.179561	6.02426	0.224451	785.355
13.82	0.180635	6.05826	0.225794	785.356
13.9	0.18171	6.08929	0.227137	785.357
13.98	0.182833	6.12549	0.228541	785.358
14.06	0.183858	6.15542	0.229822	785.359
14.14	0.1849	6.18864	0.231125	785.36
14.22	0.185925	6.2192	0.232406	785.361
14.3	0.186983	6.25289	0.233729	785.362
14.38	0.188041	6.28063	0.235051	785.363
14.46	0.189099	6.31354	0.236374	785.364
14.54	0.190141	6.34629	0.237676	785.365
14.62	0.191247	6.38123	0.239059	785.366
14.7	0.192354	6.4154	0.240443	785.367
14.78	0.193363	6.44815	0.241704	785.368
14.85	0.194389	6.47855	0.242986	785.369
14.93	0.195495	6.51537	0.244369	785.37
15.01	0.196521	6.54734	0.245651	785.372
15.09	0.197562	6.58103	0.246953	785.373
15.17	0.198685	6.62052	0.248357	785.374
15.25	0.199743	6.65437	0.249679	785.375
15.33	0.200769	6.68352	0.250961	785.376
15.34	0.200899	6.68728	0.251124	785.376
15.55	0.206986	6.98314	0.258733	785.382
15.57	0.212455	7.16602	0.265569	785.387
15.59	0.220202	7.40782	0.275253	785.395
15.6	0.225297	7.55559	0.281621	785.4
15.61	0.231238	7.71198	0.289047	785.406
15.62	0.237553	7.8889	0.296941	785.413
15.63	0.243738	8.08134	0.304672	785.419
15.64	0.249939	8.27378	0.312423	785.425
15.65	0.25627	8.47828	0.320338	785.431
15.66	0.262601	8.6892	0.328252	785.438
15.67	0.269144	8.90013	0.33643	785.444
15.68	0.276094	9.11654	0.345118	785.451
15.69	0.283223	9.33562	0.354029	785.458
15.7	0.290173	9.55109	0.362716	785.465
15.71	0.296976	9.76985	0.371221	785.472
15.72	0.303552	9.98955	0.37944	785.479
15.73	0.309672	10.2002	0.38709	785.485
15.74	0.315661	10.4185	0.394577	785.491
15.75	0.321911	10.6357	0.402389	785.497
15.76	0.328308	10.8461	0.410385	785.503
15.77	0.334851	11.0663	0.418563	785.51
15.78	0.341849	11.2863	0.427312	785.517
15.79	0.349125	11.4974	0.436406	785.524
15.8	0.356221	11.7144	0.445276	785.531
15.81	0.363269	11.9346	0.454086	785.538
15.82	0.370088	12.1452	0.46261	785.545
15.83	0.376387	12.3644	0.470484	785.551
15.84	0.382491	12.5821	0.478113	785.557
15.85	0.388757	12.7893	0.485946	785.564
15.86	0.395088	13.008	0.493861	785.57
15.87	0.401615	13.2205	0.502019	785.577
15.88	0.408614	13.4271	0.510767	785.584
15.89	0.415857	13.6405	0.519821	785.591
15.9	0.422969	13.8546	0.528712	785.598
15.91	0.430066	14.0606	0.537582	785.605
15.92	0.436918	14.2723	0.546147	785.612
15.93	0.443233	14.4831	0.554041	785.618
15.94	0.449353	14.6867	0.561691	785.624
15.95	0.455586	14.8995	0.569483	785.631
15.96	0.461902	15.1059	0.577377	785.637
15.97	0.468461	15.3088	0.585576	785.643
